# name,mass,radius,orbital_period,star_distance,star_mass,discovered,detection_type
GJ 1265 b,,,3.6511,10.255,0.17800000000000002,2018.0,Radial Velocity
GJ 143 b,0.0714,0.2329,35.61253,16.33,0.76,2018.0,Primary Transit
GJ 143 c,0.011640000000000001,0.07958,7.78993,16.33,0.76,2018.0,Primary Transit
GJ 15A b,,,11.4407,3.5869999999999997,0.375,2014.0,Radial Velocity
GJ 160.2 b,,,9.7471,,0.69,2014.0,Radial Velocity
GJ 163 b,,,8.6312,15.0,0.4,2012.0,Radial Velocity
GJ 163 c,,,25.636999999999997,15.0,0.4,2012.0,Radial Velocity
GJ 163 d,,,604.0,15.0,0.4,2013.0,Radial Velocity
GJ 163 e,,,349.0,15.0,0.4,2019.0,Radial Velocity
GJ 163 f,,,109.5,15.0,0.4,2019.0,Radial Velocity
GJ 176 b,,,8.7748,9.42,0.49,2007.0,Radial Velocity
GJ 176 c,,,28.586,9.42,0.49,2009.0,Radial Velocity
GJ 179 b,,,2288.0,12.3,0.35700000000000004,2010.0,Radial Velocity
GJ 179 c,,,3.4798,12.3,0.35700000000000004,2019.0,Radial Velocity
GJ 180 b,,,17.132,,0.43,2014.0,Radial Velocity
GJ 180 c,,,24.329,,0.43,2014.0,Radial Velocity
GJ 180 d,,,106.34100000000001,,0.43,2020.0,Radial Velocity
GJ 2056 b,,,69.971,28.47,,2020.0,Radial Velocity
GJ 2056 c,,,2982.3940000000002,28.47,,2020.0,Radial Velocity
GJ 221 e,,,2.3946,20.0,0.7,2019.0,Radial Velocity
GJ 229 A b,,,523.242,5.757000000000001,0.58,2014.0,Radial Velocity
GJ 229 A c,,,122.005,5.757000000000001,0.58,2020.0,Radial Velocity
GJ 229 B,35.0,,52890.0,5.757000000000001,0.58,1995.0,Imaging
GJ 251 b,,,14.238,6.581,0.36,2020.0,Radial Velocity
GJ 27.1 b,,,15.819,,0.53,2014.0,Radial Velocity
GJ 273 b,0.00922,,18.64,3.8,0.29,2017.0,Radial Velocity
GJ 273 c,0.00374,,4.7232199999999995,3.8,0.29,2017.0,Radial Velocity
GJ 273 d,0.034480000000000004,,413.9,3.8,0.29,2019.0,Radial Velocity
GJ 273 e,0.0297,,542.0,3.8,0.29,2019.0,Radial Velocity
GJ 3021 b,,,133.71,17.62,0.9,2000.0,Radial Velocity
GJ 3082 b,,,11.942,16.63,0.47,2020.0,Radial Velocity
GJ 3138 b,,,5.974,,0.6809999999999999,2017.0,Radial Velocity
GJ 3138 c,,,1.22003,,0.6809999999999999,2017.0,Radial Velocity
GJ 3138 d,,,257.8,,0.6809999999999999,2017.0,Radial Velocity
GJ 317 b,,,695.66,15.1,0.42,2007.0,Radial Velocity
GJ 317 c,,,6739.323,15.1,0.42,2007.0,Radial Velocity
GJ 328 b,,,4100.0,19.8,0.69,2013.0,Radial Velocity
GJ 3293 b,,,30.5987,17.9,0.42,2014.0,Radial Velocity
GJ 3293 c,,,122.6196,17.9,0.42,2014.0,Radial Velocity
GJ 3293 d,,,48.1345,17.9,0.42,2014.0,Radial Velocity
GJ 3293 e,,,13.2543,17.9,0.42,2017.0,Radial Velocity
GJ 3323 b,,,5.3636,,0.16399999999999998,2017.0,Radial Velocity
GJ 3323 c,,,40.54,,0.16399999999999998,2017.0,Radial Velocity
GJ 3341 b,,,14.207,23.1,0.47,2014.0,Radial Velocity
GJ 3470 b,0.039580000000000004,0.37380742940036,3.336649,30.7,0.51,2012.0,Primary Transit
GJ 3473 b,0.00585,0.11277000000000001,1.1980035,27.39,0.36,2020.0,Primary Transit
GJ 3473 c,,,15.509,27.39,0.36,2020.0,Radial Velocity
GJ 3512 b,,,203.69,9.488999999999999,0.12300000000000001,2019.0,Radial Velocity
GJ 3512 c,,,1599.6,9.488999999999999,0.12300000000000001,2019.0,Radial Velocity
GJ 357 b,0.006566,0.10411,3.93086,9.443999999999999,0.342,2019.0,Primary Transit
GJ 357 c,,,9.1246,9.443999999999999,0.342,2019.0,Radial Velocity
GJ 357 d,,,55.698,9.443999999999999,0.342,2019.0,Radial Velocity
GJ 3634 b,0.026000000000000002,,2.64561,19.8,0.45,2011.0,Radial Velocity
