# name,mass,radius,orbital_period,star_distance,star_mass,discovered,detection_type
Kepler-1387 b,,0.083,2.27952666,491.0,0.82,2016.0,Primary Transit
Kepler-1388 b,,0.231,12.2854603,492.0,0.63,2016.0,Primary Transit
Kepler-1388 c,,0.20199999999999999,5.53608151,492.0,0.63,2016.0,Primary Transit
Kepler-1388 d,,0.255,20.9568158,492.0,0.63,2016.0,Primary Transit
Kepler-1388 e,,0.21899999999999997,37.6327084,492.0,0.63,2016.0,Primary Transit
Kepler-1389 b,,0.158,99.25309509999998,521.0,0.81,2016.0,Primary Transit
Kepler-139 b,,0.262,15.771044,395.45,1.08,2014.0,Primary Transit
Kepler-139 c,,0.302,157.072878,395.45,1.08,2014.0,Primary Transit
Kepler-1390 b,,0.105,6.48021673,760.0,0.98,2016.0,Primary Transit
Kepler-1391 b,,0.15,54.4092333,721.0,1.03,2016.0,Primary Transit
Kepler-1392 b,,0.175,15.1410397,1117.0,0.88,2016.0,Primary Transit
Kepler-1393 b,,0.071,2.44357812,462.0,0.95,2016.0,Primary Transit
Kepler-1394 b,,0.124,3.93766373,820.0,1.64,2016.0,Primary Transit
Kepler-1395 b,,0.071,3.78470649,507.0,1.17,2016.0,Primary Transit
Kepler-1396 b,,0.185,18.2206421,1236.0,1.18,2016.0,Primary Transit
Kepler-1397 b,,0.153,47.449954999999996,770.0,1.09,2016.0,Primary Transit
Kepler-1398 b,,0.08,2.78815679,793.0,1.13,2016.0,Primary Transit
Kepler-1398 c,,0.092,4.13827595,793.0,1.13,2016.0,Primary Transit
Kepler-1399 b,,0.11199999999999999,1.63865306,1256.0,0.97,2016.0,Primary Transit
Kepler-14 b,8.4,1.136,6.7901229999999995,980.0,1.51,2011.0,Primary Transit
Kepler-140 b,,0.14400000000000002,3.25427,593.8,,2014.0,Primary Transit
Kepler-140 c,,0.161,91.353282,593.8,,2014.0,Primary Transit
Kepler-1400 b,,0.145,9.06689421,879.0,0.83,2016.0,Primary Transit
Kepler-1401 b,,0.15,11.20066445,1242.0,1.07,2016.0,Primary Transit
Kepler-1402 b,,0.068,2.03387914,681.0,0.9,2016.0,Primary Transit
Kepler-1403 b,,0.191,5.19492202,1801.0,1.11,2016.0,Primary Transit
Kepler-1404 b,,0.179,15.9314739,946.0,0.84,2016.0,Primary Transit
Kepler-1405 b,,0.353,28.2274184,1605.0,1.05,2016.0,Primary Transit
Kepler-1406 b,,0.098,11.62905828,587.0,1.05,2016.0,Primary Transit
Kepler-1407 b,,0.201,20.071150399999997,1275.0,1.1,2016.0,Primary Transit
Kepler-1408 b,,0.079,2.99793191,426.0,1.21,2016.0,Primary Transit
Kepler-1409 b,,0.09300000000000001,0.76486493,722.0,0.83,2016.0,Primary Transit
Kepler-141 b,,0.062,3.107675,303.83,1.0,2014.0,Primary Transit
Kepler-141 c,,0.126,7.010606,303.83,1.0,2014.0,Primary Transit
Kepler-1410 b,,0.159,60.866168,367.0,0.63,2016.0,Primary Transit
Kepler-1411 b,,0.252,86.1150888,1431.0,0.95,2016.0,Primary Transit
Kepler-1412 b,,0.07400000000000001,3.6146051,639.0,1.06,2016.0,Primary Transit
Kepler-1413 b,,0.162,13.182964199999999,1162.0,0.84,2016.0,Primary Transit
Kepler-1414 b,,0.11,3.51576315,534.0,0.8,2016.0,Primary Transit
Kepler-1415 b,,0.115,0.63642408,1066.0,0.89,2016.0,Primary Transit
Kepler-1416 b,,0.079,1.49514952,807.0,1.09,2016.0,Primary Transit
Kepler-1417 b,,0.08900000000000001,20.3505213,656.0,1.02,2016.0,Primary Transit
Kepler-1418 b,,0.14800000000000002,22.476442499999997,499.0,0.77,2016.0,Primary Transit
Kepler-1419 b,,0.255,42.521589500000005,1444.0,1.01,2016.0,Primary Transit
Kepler-142 b,,0.17800000000000002,2.024152,557.51,0.99,2014.0,Primary Transit
Kepler-142 c,,0.255,4.761702,557.51,0.99,2014.0,Primary Transit
Kepler-142 d,,0.193,41.809118,557.51,0.99,2014.0,Primary Transit
Kepler-1420 b,,0.114,6.69960006,923.0,0.82,2016.0,Primary Transit
Kepler-1421 b,,0.083,6.913111200000001,675.0,1.25,2016.0,Primary Transit
Kepler-1422 b,,0.18,18.6051942,2081.0,1.15,2016.0,Primary Transit
Kepler-1423 b,,0.095,23.955378,449.0,0.79,2016.0,Primary Transit
Kepler-1424 b,,0.10300000000000001,29.6091744,620.0,1.02,2016.0,Primary Transit
Kepler-1425 b,,0.084,14.4541302,499.0,0.97,2016.0,Primary Transit
Kepler-1426 b,,0.139,14.256322699999998,1211.0,1.02,2016.0,Primary Transit
Kepler-1427 b,,0.098,0.96897238,1220.0,1.01,2016.0,Primary Transit
Kepler-1428 b,,0.146,10.67607169,802.0,1.28,2016.0,Primary Transit
Kepler-1429 b,,0.115,4.48487493,1156.0,1.05,2016.0,Primary Transit
Kepler-143 b,,0.215,16.007583,828.71,,2014.0,Primary Transit
Kepler-143 c,,0.301,27.082511,828.71,,2014.0,Primary Transit
Kepler-1430 b,,0.105,2.46050993,541.0,0.77,2016.0,Primary Transit
Kepler-1431 b,,0.131,5.86601526,1270.0,1.03,2016.0,Primary Transit
Kepler-1432 b,,0.198,23.910901100000004,1552.0,1.09,2016.0,Primary Transit
Kepler-1433 b,,0.139,4.13592271,1328.0,1.14,2016.0,Primary Transit
Kepler-1434 b,,0.099,8.05333618,680.0,1.47,2016.0,Primary Transit
Kepler-1435 b,,0.077,4.45343281,681.0,1.21,2016.0,Primary Transit
Kepler-1436 b,,0.11699999999999999,9.705716,1142.0,1.06,2016.0,Primary Transit
Kepler-1437 b,,0.122,10.9295461,1182.0,0.93,2016.0,Primary Transit
Kepler-1438 b,,0.084,2.31942009,866.0,0.97,2016.0,Primary Transit
Kepler-1439 b,,0.13,8.07392849,215.0,0.46,2016.0,Primary Transit
Kepler-144 b,,0.11900000000000001,5.885273000000001,389.22,1.03,2014.0,Primary Transit
Kepler-144 c,,0.12,10.104664999999999,389.22,1.03,2014.0,Primary Transit
Kepler-1440 b,,0.11199999999999999,39.859484,685.0,0.98,2016.0,Primary Transit
Kepler-1441 b,,0.11699999999999999,39.4419839,751.0,1.0,2016.0,Primary Transit
Kepler-1442 b,,0.35100000000000003,81.4162941,525.0,1.34,2016.0,Primary Transit
Kepler-1443 b,,0.087,2.41811321,475.0,1.19,2016.0,Primary Transit
Kepler-1444 b,,0.19399999999999998,33.42035034,340.0,1.03,2016.0,Primary Transit
Kepler-1445 b,,0.086,10.60052251,482.0,1.13,2016.0,Primary Transit
Kepler-1446 b,,0.073,0.68996783,162.0,0.81,2016.0,Primary Transit
Kepler-1447 b,,0.259,56.6747285,871.0,0.97,2016.0,Primary Transit
Kepler-1448 b,,0.14400000000000002,12.27065865,786.0,0.95,2016.0,Primary Transit
Kepler-1449 b,,0.15,13.227452800000002,1321.0,1.08,2016.0,Primary Transit
Kepler-145 b,0.11699999999999999,0.23600000000000002,22.951,576.15,1.28,2013.0,Primary Transit
Kepler-145 c,0.25,0.385,42.882,576.15,1.28,2013.0,Primary Transit
Kepler-1450 b,,0.153,54.509416599999994,490.0,0.71,2016.0,Primary Transit
Kepler-1451 b,,0.299,35.622233,1159.0,1.0,2016.0,Primary Transit
Kepler-1452 b,,0.24100000000000002,42.913751,974.0,1.41,2016.0,Primary Transit
Kepler-1453 b,,0.23800000000000002,47.1611696,1284.0,0.97,2016.0,Primary Transit
Kepler-1454 b,,0.168,47.0319479,795.0,0.9,2016.0,Primary Transit
Kepler-1455 b,,0.193,49.276764,392.0,0.62,2016.0,Primary Transit
Kepler-1456 b,,0.102,18.1373829,379.0,0.64,2016.0,Primary Transit
Kepler-1457 b,,0.17800000000000002,51.1110243,728.0,1.01,2016.0,Primary Transit
Kepler-1458 b,,0.24600000000000002,47.9872764,642.0,0.96,2016.0,Primary Transit
Kepler-1459 b,,0.121,62.86916110000001,435.0,0.78,2016.0,Primary Transit
Kepler-146 b,,0.331,31.158799,716.797,1.1,2014.0,Primary Transit
Kepler-146 c,,0.2792,76.732171,716.797,1.1,2014.0,Primary Transit
Kepler-1460 b,,0.175,29.963324699999998,574.0,0.7,2016.0,Primary Transit
Kepler-1461 b,,0.18100000000000002,29.349477500000003,752.0,0.79,2016.0,Primary Transit
Kepler-1462 b,,0.341,65.6488341,1368.0,1.0,2016.0,Primary Transit
Kepler-1463 b,,0.166,25.15864,1341.0,0.96,2016.0,Primary Transit
Kepler-1464 b,,0.14800000000000002,31.778590100000002,692.0,1.02,2016.0,Primary Transit
Kepler-1464 c,,0.08900000000000001,5.32786292,692.0,1.02,2016.0,Primary Transit
Kepler-1465 b,,0.158,31.827711100000002,350.0,0.75,2016.0,Primary Transit
Kepler-1466 b,,0.138,31.175044800000002,686.0,1.01,2016.0,Primary Transit
Kepler-1467 b,,0.294,47.05690429999999,890.0,0.86,2016.0,Primary Transit
Kepler-1468 b,,0.154,8.23984869,1130.0,1.04,2016.0,Primary Transit
Kepler-1468 c,,0.10300000000000001,3.54553021,1130.0,1.04,2016.0,Primary Transit
Kepler-1469 b,,0.25,21.863530100000002,1255.0,0.92,2016.0,Primary Transit
Kepler-147 b,,0.136,12.610584,1073.89,1.01,2014.0,Primary Transit
Kepler-147 c,,0.217,33.416422999999995,1073.89,1.01,2014.0,Primary Transit
Kepler-1470 b,,0.095,16.295090300000002,569.0,0.8,2016.0,Primary Transit
Kepler-1471 b,,0.126,3.63899398,1059.0,0.95,2016.0,Primary Transit
Kepler-1472 b,,0.17,38.1312831,1269.0,1.16,2016.0,Primary Transit
Kepler-1473 b,,0.106,14.427355100000002,625.0,1.09,2016.0,Primary Transit
Kepler-1474 b,,0.193,36.433345200000005,1214.0,1.04,2016.0,Primary Transit
Kepler-1475 b,,0.261,82.177374,1714.0,1.18,2016.0,Primary Transit
Kepler-1476 b,,0.149,10.35863224,1218.0,0.98,2016.0,Primary Transit
Kepler-1477 b,,0.105,11.55530021,525.0,0.81,2016.0,Primary Transit
Kepler-1478 b,,0.154,26.084059399999997,1405.0,1.04,2016.0,Primary Transit
Kepler-1479 b,,0.163,14.53261362,619.0,0.99,2016.0,Primary Transit
Kepler-148 b,,0.161,1.729366,809.42,,2014.0,Primary Transit
Kepler-148 c,,0.321,4.180043,809.42,,2014.0,Primary Transit
Kepler-148 d,,0.774,51.84688575,809.42,,2016.0,Primary Transit
Kepler-1480 b,,0.149,22.12679948,540.0,0.85,2016.0,Primary Transit
Kepler-1481 b,,0.11,5.94220998,493.0,0.8,2016.0,Primary Transit
Kepler-1482 b,,0.09,12.25383217,442.0,0.88,2016.0,Primary Transit
Kepler-1483 b,,0.136,9.5085156,1327.0,1.25,2016.0,Primary Transit
Kepler-1484 b,,0.188,30.4549136,1095.0,0.94,2016.0,Primary Transit
Kepler-1485 b,,0.131,19.9157725,550.0,1.11,2016.0,Primary Transit
Kepler-1486 b,,0.207,54.649575899999995,1465.0,1.08,2016.0,Primary Transit
Kepler-1487 b,,0.19,7.31946363,1094.0,1.38,2016.0,Primary Transit
Kepler-1488 b,,0.166,39.8189932,618.0,1.05,2016.0,Primary Transit
Kepler-1489 b,,0.158,82.294751,870.0,0.93,2016.0,Primary Transit
Kepler-149 b,,0.376,29.198943,580.57,,2014.0,Primary Transit
Kepler-149 c,,0.14400000000000002,55.328328000000006,580.57,,2014.0,Primary Transit
Kepler-149 d,,0.353,160.018032,580.57,,2014.0,Primary Transit
Kepler-1490 b,,0.271,92.4362973,968.0,0.9,2016.0,Primary Transit
Kepler-1491 b,,0.135,16.586176199999997,1312.0,1.0,2016.0,Primary Transit
Kepler-1492 b,,0.133,16.75255007,371.0,0.77,2016.0,Primary Transit
Kepler-1493 b,,0.126,15.0217983,572.0,1.06,2016.0,Primary Transit
Kepler-1494 b,,0.27399999999999997,91.08048199999999,1059.0,0.96,2016.0,Primary Transit
Kepler-1495 b,,0.262,85.273256,1307.0,1.03,2016.0,Primary Transit
Kepler-1496 b,,0.198,64.6588017,1293.0,1.18,2016.0,Primary Transit
Kepler-1497 b,,0.14800000000000002,8.74199772,1122.0,0.96,2016.0,Primary Transit
Kepler-1498 b,,0.11900000000000001,48.051404999999995,740.0,0.86,2016.0,Primary Transit
Kepler-1499 b,,0.106,44.2008,310.0,0.82,2016.0,Primary Transit
Kepler-15 b,0.66,0.96,4.942782,755.38,1.02,2011.0,Primary Transit
Kepler-150 b,,0.11199999999999999,3.428054,914.4,,2014.0,Primary Transit
Kepler-150 c,,0.32899999999999996,7.381997999999999,914.4,,2014.0,Primary Transit
Kepler-150 d,,0.249,12.56093,914.4,,2014.0,Primary Transit
Kepler-150 e,,0.278,30.826557,914.4,,2014.0,Primary Transit
Kepler-150 f,0.0283,0.325,637.2093,914.4,,2017.0,Primary Transit
Kepler-1500 b,,0.107,15.033010500000001,904.0,1.0,2016.0,Primary Transit
Kepler-1501 b,,0.139,14.5564533,888.0,1.2,2016.0,Primary Transit
Kepler-1502 b,,0.284,41.7083629,1540.0,1.44,2016.0,Primary Transit
Kepler-1503 b,,0.203,96.16986999999999,850.0,0.77,2016.0,Primary Transit
Kepler-1504 b,,0.19,82.30400300000001,1029.0,0.85,2016.0,Primary Transit
Kepler-1505 b,,0.083,30.860936600000002,359.0,0.93,2016.0,Primary Transit
Kepler-1506 b,,0.11800000000000001,14.0329154,1318.0,0.95,2016.0,Primary Transit
Kepler-1507 b,,0.075,16.050621300000003,342.0,0.89,2016.0,Primary Transit
Kepler-1508 b,,0.11900000000000001,20.7056504,892.0,1.14,2016.0,Primary Transit
Kepler-1509 b,,0.165,25.433819699999997,1277.0,1.0,2016.0,Primary Transit
Kepler-151 b,,0.273,15.228957999999999,662.19,0.83,2014.0,Primary Transit
Kepler-151 c,,0.18600000000000003,24.674612,662.19,0.83,2014.0,Primary Transit
Kepler-1510 b,,0.3,84.703921,1615.0,1.19,2016.0,Primary Transit
Kepler-1511 b,,0.15,23.238279199999997,897.0,1.17,2016.0,Primary Transit
Kepler-1512 b,,0.105,20.35972599,162.0,0.73,2016.0,Primary Transit
Kepler-1513 b,,0.755,160.88465087,384.0,0.99,2016.0,Primary Transit
Kepler-1514 b,5.28,1.1079999999999999,217.83184,389.3,1.2,2016.0,Primary Transit
Kepler-1514 c,,0.105,10.514180999999999,389.3,1.2,2020.0,Primary Transit
Kepler-1515 b,,0.852,214.31141639999998,504.0,1.3,2016.0,Primary Transit
Kepler-1516 b,,0.156,7.25931979,872.0,1.04,2016.0,Primary Transit
Kepler-1517 b,,0.871,5.54608367,869.0,1.58,2016.0,Primary Transit
Kepler-1518 b,,0.272,5.11177904,1140.0,1.54,2016.0,Primary Transit
Kepler-1519 b,,0.63,240.79893969999998,858.0,0.94,2016.0,Primary Transit
Kepler-152 b,,0.249,18.207973000000003,446.77,,2014.0,Primary Transit
Kepler-152 c,,0.213,88.255055,446.77,,2014.0,Primary Transit
Kepler-1520 b,6.3e-05,0.515,0.65355357,636.0,0.76,2016.0,Primary Transit
Kepler-1521 b,,0.223,47.14840805,227.0,0.81,2016.0,Primary Transit
Kepler-1522 b,,0.154,1.84788917,690.0,0.96,2016.0,Primary Transit
Kepler-1523 b,,0.141,0.93875077,918.0,0.97,2016.0,Primary Transit
Kepler-1524 b,,0.316,70.9674603,506.0,1.17,2016.0,Primary Transit
Kepler-1525 b,,0.081,2.41660118,396.0,1.07,2016.0,Primary Transit
Kepler-1526 b,,0.217,3.908632,576.0,0.73,2016.0,Primary Transit
Kepler-1527 b,,0.426,160.129918,1560.0,1.21,2016.0,Primary Transit
Kepler-1528 b,,0.13,1.79111021,916.0,1.03,2016.0,Primary Transit
Kepler-1529 b,,0.187,5.33905686,683.0,0.81,2016.0,Primary Transit
Kepler-153 b,,0.261,18.870227,465.53,,2014.0,Primary Transit
Kepler-153 c,,0.226,46.90232,465.53,,2014.0,Primary Transit
Kepler-1530 b,,0.146,2.5904434,552.0,0.92,2016.0,Primary Transit
Kepler-1530 c,,0.147,5.3227405999999995,552.0,0.92,2016.0,Primary Transit
Kepler-1531 b,,0.099,1.13854338,670.0,1.16,2016.0,Primary Transit
Kepler-1532 b,,0.12,1.09366356,824.0,0.91,2016.0,Primary Transit
Kepler-1533 b,,0.309,308.5471,852.0,1.31,2016.0,Primary Transit
Kepler-1534 b,,0.16899999999999998,5.71668872,1107.0,0.9,2016.0,Primary Transit
Kepler-1535 b,,0.22699999999999998,138.9442,879.0,1.08,2016.0,Primary Transit
Kepler-1536 b,,0.28,364.758031,401.0,0.71,2016.0,Primary Transit
Kepler-1537 b,,0.105,1.4444538,503.0,0.81,2016.0,Primary Transit
Kepler-1538 b,,0.252,175.13881899999998,1291.0,1.03,2016.0,Primary Transit
Kepler-1539 b,,0.24100000000000002,133.3036741,788.0,0.84,2016.0,Primary Transit
Kepler-154 b,,0.20199999999999999,33.040532,939.89,0.89,2014.0,Primary Transit
Kepler-154 c,,0.263,62.303276000000004,939.89,0.89,2014.0,Primary Transit
Kepler-154 d,,0.34299999999999997,20.54981883,939.89,0.89,2016.0,Primary Transit
Kepler-154 e,,0.134,3.93276465,939.89,0.89,2016.0,Primary Transit
Kepler-154 f,,0.134,9.91935684,939.89,0.89,2016.0,Primary Transit
Kepler-154 g,,0.9145,1250.0,939.89,0.89,2019.0,Radial Velocity
Kepler-1540 b,,0.222,125.41311770000002,262.0,0.74,2016.0,Primary Transit
Kepler-1541 b,,0.10300000000000001,8.40691199,414.0,0.86,2016.0,Primary Transit
Kepler-1542 b,,0.068,3.95116882,336.0,0.94,2016.0,Primary Transit
Kepler-1542 c,,0.057999999999999996,2.89223021,336.0,0.94,2016.0,Primary Transit
Kepler-1542 d,,0.078,5.99273738,336.0,0.94,2016.0,Primary Transit
Kepler-1542 e,,0.068,5.10115756,336.0,0.94,2016.0,Primary Transit
Kepler-1543 b,,0.242,6.96710269,1114.0,1.39,2016.0,Primary Transit
Kepler-1544 b,,0.159,168.811174,349.0,0.81,2016.0,Primary Transit
Kepler-1545 b,,0.24100000000000002,163.692349,688.0,0.84,2016.0,Primary Transit
Kepler-1546 b,,0.27899999999999997,19.597497100000002,994.0,0.95,2016.0,Primary Transit
Kepler-1547 b,,0.08,0.69297968,665.0,1.12,2016.0,Primary Transit
Kepler-1548 b,,0.23600000000000002,124.82867900000001,1150.0,0.99,2016.0,Primary Transit
Kepler-1549 b,,0.22899999999999998,214.886545,792.0,0.88,2016.0,Primary Transit
Kepler-155 b,,0.18600000000000003,5.9311940000000005,295.99,0.58,2014.0,Primary Transit
Kepler-155 c,,0.2,52.661793,295.99,0.58,2014.0,Primary Transit
Kepler-1550 b,,0.26899999999999996,225.582809,1202.0,1.07,2016.0,Primary Transit
Kepler-1551 b,,0.237,24.4973698,1560.0,1.14,2016.0,Primary Transit
Kepler-1552 b,,0.22,184.771853,618.0,0.85,2016.0,Primary Transit
Kepler-1553 b,,0.10300000000000001,4.24261881,719.0,0.85,2016.0,Primary Transit
Kepler-1554 b,,0.259,198.088774,982.0,0.84,2016.0,Primary Transit
Kepler-1555 b,,0.14400000000000002,8.10501635,1382.0,1.04,2016.0,Primary Transit
Kepler-1556 b,,0.175,8.82713457,1060.0,0.97,2016.0,Primary Transit
Kepler-1557 b,,0.136,3.74032496,1532.0,1.11,2016.0,Primary Transit
Kepler-1558 b,,0.061,3.50470358,343.0,0.83,2016.0,Primary Transit
Kepler-1559 b,,0.064,0.97191543,580.0,0.86,2016.0,Primary Transit
Kepler-156 b,,0.205,4.973456,449.22,,2014.0,Primary Transit
Kepler-156 c,,0.22699999999999998,15.906801000000002,449.22,,2014.0,Primary Transit
Kepler-1560 b,,0.079,3.03195744,529.0,1.02,2016.0,Primary Transit
Kepler-1561 b,,0.09699999999999999,1.00520701,993.0,1.07,2016.0,Primary Transit
Kepler-1562 b,,0.317,64.2737752,1315.0,1.02,2016.0,Primary Transit
Kepler-1563 b,,0.067,3.43276598,547.0,1.0,2016.0,Primary Transit
Kepler-1564 b,,0.131,18.054038100000003,872.0,0.93,2016.0,Primary Transit
Kepler-1565 b,,0.106,1.53818844,657.0,0.76,2016.0,Primary Transit
Kepler-1566 b,,0.07,0.53991524,511.0,0.84,2016.0,Primary Transit
Kepler-1567 b,,0.244,153.979578,1226.0,0.95,2016.0,Primary Transit
Kepler-1568 b,,0.11599999999999999,20.925392000000002,883.0,1.09,2016.0,Primary Transit
Kepler-1569 b,,0.15,5.79180156,1050.0,1.25,2016.0,Primary Transit
Kepler-157 b,,0.11800000000000001,1.7323419999999998,791.27,,2014.0,Primary Transit
Kepler-157 c,,0.2,13.5405,791.27,,2014.0,Primary Transit
Kepler-157 d,,0.13,7.02573474,791.27,,2016.0,Primary Transit
Kepler-1570 b,,0.095,26.548955,463.0,0.92,2016.0,Primary Transit
Kepler-1571 b,,0.136,3.38555488,802.0,1.23,2016.0,Primary Transit
Kepler-1572 b,,0.084,5.49548621,600.0,0.97,2016.0,Primary Transit
Kepler-1573 b,,0.107,2.6157554,1180.0,1.01,2016.0,Primary Transit
Kepler-1574 b,,0.115,6.9424334000000005,1275.0,1.06,2016.0,Primary Transit
Kepler-1575 b,,0.11699999999999999,2.55314213,1170.0,0.95,2016.0,Primary Transit
Kepler-1576 b,,0.09300000000000001,6.98471973,539.0,1.05,2016.0,Primary Transit
Kepler-1577 b,,0.10099999999999999,6.30560247,543.0,0.78,2016.0,Primary Transit
Kepler-1578 b,,0.09300000000000001,1.45088691,1016.0,0.9,2016.0,Primary Transit
Kepler-1579 b,,0.075,0.84990789,466.0,0.75,2016.0,Primary Transit
Kepler-158 b,,0.18899999999999997,16.709184,318.06,,2014.0,Primary Transit
Kepler-158 c,,0.17,28.551383,318.06,,2014.0,Primary Transit
Kepler-1580 b,,0.188,56.6449279,872.0,1.47,2016.0,Primary Transit
Kepler-1581 b,,0.071,6.28385491,443.0,1.12,2016.0,Primary Transit
Kepler-1582 b,,0.133,4.83817712,112.0,0.28,2016.0,Primary Transit
Kepler-1583 b,,0.054000000000000006,9.32807355,357.0,0.94,2016.0,Primary Transit
Kepler-1584 b,,0.14400000000000002,13.399709900000001,1325.0,1.1,2016.0,Primary Transit
Kepler-1585 b,,0.16,3.5827462999999997,1269.0,0.94,2016.0,Primary Transit
Kepler-1586 b,,0.136,15.6049212,864.0,1.45,2016.0,Primary Transit
Kepler-1587 b,,0.11900000000000001,9.4060467,907.0,1.08,2016.0,Primary Transit
Kepler-1588 b,,0.068,7.84931739,658.0,0.96,2016.0,Primary Transit
Kepler-1589 b,,0.09699999999999999,0.99166527,1418.0,1.18,2016.0,Primary Transit
Kepler-159 b,,0.212,10.139623,377.79,,2014.0,Primary Transit
Kepler-159 c,,0.304,43.595791999999996,377.79,,2014.0,Primary Transit
Kepler-1590 b,,0.102,7.61760804,900.0,1.11,2016.0,Primary Transit
Kepler-1591 b,,0.113,8.18504949,1090.0,1.1,2016.0,Primary Transit
Kepler-1592 b,,0.13699999999999998,3.05710069,1349.0,1.18,2016.0,Primary Transit
Kepler-1593 b,,0.28300000000000003,174.509835,755.0,0.81,2016.0,Primary Transit
Kepler-1594 b,,0.095,2.71603809,1100.0,1.06,2016.0,Primary Transit
Kepler-1595 b,,0.11,4.56380468,841.0,0.84,2016.0,Primary Transit
Kepler-1596 b,,0.17,66.373379,1166.0,0.95,2016.0,Primary Transit
Kepler-1597 b,,0.095,2.94654179,1255.0,1.25,2016.0,Primary Transit
Kepler-1598 b,,0.085,4.34195123,734.0,1.07,2016.0,Primary Transit
Kepler-1599 b,,0.145,122.363553,1004.0,0.99,2016.0,Primary Transit
Kepler-16 (AB) b,0.33299999999999996,0.7538,228.77599999999998,,0.8499,2011.0,Primary Transit
Kepler-160 b,,0.153,4.309397,962.92,,2014.0,Primary Transit
Kepler-160 c,,0.335,13.699429,962.92,,2014.0,Primary Transit
Kepler-160 d,0.31463,,30.0,962.92,,2020.0,TTV
Kepler-1600 b,,0.27899999999999997,386.370548,992.0,0.86,2016.0,Primary Transit
Kepler-1601 b,,0.073,2.20921951,660.0,1.04,2016.0,Primary Transit
Kepler-1602 b,,0.12,11.17931605,815.0,1.22,2016.0,Primary Transit
Kepler-1603 b,,0.115,2.27163926,1751.0,1.21,2016.0,Primary Transit
Kepler-1604 b,,0.126,0.68368426,562.0,0.81,2016.0,Primary Transit
Kepler-1605 b,,0.096,85.7565495,224.0,0.86,2016.0,Primary Transit
Kepler-1606 b,,0.185,196.435224,880.0,0.9,2016.0,Primary Transit
Kepler-1607 b,,0.08199999999999999,13.6473676,735.0,1.14,2016.0,Primary Transit
Kepler-1608 b,,0.154,16.4735686,832.0,0.75,2016.0,Primary Transit
Kepler-1609 b,,0.198,114.34218999999999,1483.0,1.18,2016.0,Primary Transit
Kepler-161 b,,0.18899999999999997,4.921355,440.15,0.77,2014.0,Primary Transit
Kepler-161 c,,0.183,7.06424,440.15,0.77,2014.0,Primary Transit
Kepler-1610 b,,0.14400000000000002,8.70181574,1063.0,0.91,2016.0,Primary Transit
Kepler-1611 b,,0.07200000000000001,5.1762429,686.0,0.94,2016.0,Primary Transit
Kepler-1612 b,,0.092,3.91795101,837.0,0.96,2016.0,Primary Transit
Kepler-1613 b,,0.18600000000000003,1.5184298999999999,855.0,1.08,2016.0,Primary Transit
Kepler-1614 b,,0.133,3.9466141,982.0,0.79,2016.0,Primary Transit
Kepler-1615 b,,0.184,47.31261920000001,940.0,1.04,2016.0,Primary Transit
Kepler-1616 b,,0.091,6.76284377,862.0,1.21,2016.0,Primary Transit
Kepler-1617 b,,0.107,27.478557199999997,813.0,1.15,2016.0,Primary Transit
Kepler-1618 b,,0.11199999999999999,6.10826019,1238.0,1.41,2016.0,Primary Transit
Kepler-1619 b,,0.068,23.6225913,520.0,1.0,2016.0,Primary Transit
Kepler-162 b,,0.11199999999999999,6.919797999999999,877.01,,2014.0,Primary Transit
Kepler-162 c,,0.27,19.446355,877.01,,2014.0,Primary Transit
Kepler-1620 b,,0.14400000000000002,101.951829,773.0,1.15,2016.0,Primary Transit
Kepler-1621 b,,0.193,92.26371400000001,1461.0,1.15,2016.0,Primary Transit
Kepler-1622 b,,0.131,10.8118737,927.0,1.31,2016.0,Primary Transit
Kepler-1623 b,,0.11699999999999999,4.36128348,986.0,1.0,2016.0,Primary Transit
Kepler-1624 b,,0.509,3.29030452,199.0,0.5,2016.0,Primary Transit
Kepler-1625 b,11.6,0.541,287.37894900000003,1213.0,0.96,2016.0,Primary Transit
Kepler-1626 b,,0.18,4.13962966,1718.0,1.51,2016.0,Primary Transit
Kepler-1627 b,,0.32899999999999996,7.20283653,311.0,0.87,2016.0,Primary Transit
Kepler-1628 b,,0.574,76.378033,352.0,0.55,2016.0,Primary Transit
Kepler-1629 b,,0.069,3.87595807,390.0,1.01,2016.0,Primary Transit
Kepler-163 b,,0.094,7.810936999999999,703.69,0.96,2014.0,Primary Transit
Kepler-163 c,,0.20199999999999999,21.347262,703.69,0.96,2014.0,Primary Transit
Kepler-1630 b,,0.195,509.99740199999997,278.0,0.66,2016.0,Primary Transit
Kepler-1631 b,,0.12,4.09513932,1190.0,0.97,2016.0,Primary Transit
Kepler-1632 b,,0.22,448.303558,584.0,1.12,2016.0,Primary Transit
Kepler-1633 b,,0.141,186.404271,811.0,1.2,2016.0,Primary Transit
Kepler-1634 b,,0.285,374.876239,654.0,0.92,2016.0,Primary Transit
Kepler-1635 b,,0.325,469.63111,1084.0,0.89,2016.0,Primary Transit
Kepler-1636 b,,0.28800000000000003,425.47785,1567.0,1.01,2016.0,Primary Transit
Kepler-1637 b,,0.079,6.10960324,506.0,1.02,2016.0,Primary Transit
Kepler-1638 b,,0.16699999999999998,259.33682999999996,879.0,0.97,2016.0,Primary Transit
Kepler-1639 b,,0.23,9.878482,1168.0,1.12,2016.0,Primary Transit
Kepler-164 b,,0.126,5.03503,914.18,1.11,2014.0,Primary Transit
